#Params

DP.StartlistCount = 112
DP.ITCount = 0
DP.RaceCount = 10

#Event Properties

EP.Name = C 2007 470 M
EP.ScoringSystem = Low Point System
EP.Throwouts = 1
EP.DivisionName = 470M
EP.InputMode = Strict
EP.RaceLayout = Finish
EP.NameSchema = NX
EP.FieldMap = SN
EP.FieldCaptions = FN1,LN1,Sail,Sail-ID,FN2,LN2
EP.FieldCount = 6
EP.NameFieldCount = 0
EP.NameFieldOrder = 
EP.ColorMode = Fleet
EP.UseFleets = True
EP.TargetFleetSize = 38
EP.FirstFinalRace = 6
EP.IsTimed = False
EP.UseCompactFormat = True

NameList.Begin
NameList.End

StartList.Begin
Pos;SNR;Bib
1005;6;2;26;11;4;2;2;10;24;27;0
1006;7;21;5;6;4;4;4;0;0;0;4
1007;8;4;20;6;5;5;5;24;36;21;6
1008;9;3;7;5;6;14;11;17;14;13;8
1009;10;2;10;4;7;9;22;14;17;35;0
1010;11;3;11;3;5;12;10;18;15;18;11
1011;12;3;21;4;9;6;0;15;13;3;7
1012;13;8;5;16;4;7;37;32;20;15;0
1013;14;6;18;7;6;5;24;13;8;23;12
1014;15;2;8;14;1;15;12;3;1;2;10
1015;16;24;3;8;5;11;13;30;30;19;8
1016;17;14;7;10;3;7;14;6;5;10;9
1017;18;12;16;1;9;8;20;0;32;12;9
1018;19;8;16;5;21;2;15;1;10;8;1
1019;20;9;23;12;10;3;30;25;35;14;3
1020;21;17;25;1;2;15;23;11;26;26;19
1021;22;18;1;17;7;10;21;9;23;25;17
1022;23;4;5;26;0;1;1;4;7;4;5
1023;24;13;10;3;12;30;35;29;27;22;22
1024;25;29;1;6;3;29;16;19;16;17;1
1025;26;5;18;0;8;11;25;22;0;0;0
1026;27;12;7;8;15;17;17;35;21;34;14
1027;28;23;9;9;10;14;29;20;28;20;16
1028;29;20;32;2;11;10;9;16;9;9;2
1029;30;13;2;17;20;11;32;26;3;0;13
1030;31;9;17;9;18;9;31;28;6;5;10
1031;32;1;9;19;22;16;28;31;31;32;20
1032;33;5;15;8;0;17;27;23;12;31;0
1033;34;17;3;0;14;12;36;27;25;16;0
1034;35;11;9;0;13;13;8;12;11;11;5
1035;36;19;4;12;12;21;34;34;18;28;15
1036;37;25;6;0;11;6;26;21;34;24;21
1037;38;10;24;3;16;20;33;33;29;29;18
1038;39;5;20;10;16;20;28;17;36;36;20
1039;40;30;6;13;10;23;15;28;26;16;4
1040;41;8;22;0;8;14;32;1;4;11;3
1041;42;17;16;0;19;5;9;4;2;33;0
1042;43;10;19;15;18;10;19;7;20;26;10
1043;44;15;25;17;16;8;25;5;16;22;1
1044;45;11;15;15;15;22;26;0;9;24;25
1045;46;21;4;28;24;8;36;25;19;23;8
1046;47;26;8;11;19;19;10;0;12;10;22
1047;48;6;27;22;26;4;16;2;3;3;14
1048;49;15;19;13;12;25;5;10;6;4;9
1049;50;25;22;10;0;3;3;6;5;7;0
1050;51;19;11;23;11;21;14;13;24;20;24
1051;52;14;22;0;13;13;27;27;14;17;26
1052;53;30;28;9;6;21;22;19;25;35;0
1053;54;28;12;13;21;18;18;20;21;1;6
1054;55;14;13;0;17;20;20;26;22;31;23
1055;56;7;33;16;0;9;6;23;8;28;0
1056;57;1;2;0;0;24;1;11;10;2;2
1057;58;34;10;15;23;18;30;12;32;27;21
1058;59;36;36;18;22;13;23;32;18;21;15
1059;60;13;31;7;0;16;0;0;0;0;0
1060;61;27;20;14;14;19;24;31;11;15;13
1061;62;22;25;14;15;17;13;16;1;12;16
1062;63;28;33;0;8;1;8;8;17;29;12
1063;64;32;30;11;2;27;21;21;34;19;17
1064;65;31;13;12;14;0;12;14;23;5;0
1065;66;23;30;0;3;15;29;18;27;25;0
1066;67;23;14;27;0;7;7;15;15;8;7
1067;68;18;8;18;0;27;34;30;33;30;0
1068;69;9;17;0;21;25;17;22;13;34;11
1069;70;18;4;0;30;22;35;34;28;14;0
1070;71;20;11;0;20;23;33;33;35;32;27
1071;72;28;14;0;17;16;2;3;29;6;5
1072;73;16;26;16;17;26;31;29;30;9;18
1073;74;10;29;0;13;24;11;24;31;13;0
1074;75;12;28;24;0;12;4;9;7;18;19
1075;76;27;2;23;27;33;7;2;0;13;0
1076;77;4;24;25;0;26;2;3;14;3;1
1077;78;27;27;7;18;0;0;0;0;0;0
1078;79;22;21;19;20;23;9;6;5;10;3
1079;80;19;23;0;19;22;8;4;0;6;17
1080;81;33;12;21;23;29;14;23;23;12;0
1081;82;15;32;19;0;19;3;7;6;14;12
1082;83;21;18;21;25;29;16;8;11;11;0
1083;84;16;12;30;0;28;11;14;2;9;9
1084;85;22;24;0;24;18;1;1;4;5;2
1085;86;0;34;20;7;28;6;5;1;1;5
1086;87;34;17;20;25;27;19;18;15;8;8
1087;88;16;28;22;32;28;18;13;3;15;0
1088;89;30;27;24;22;25;27;0;7;7;6
1089;90;11;32;0;26;30;10;10;13;20;0
1090;91;26;21;20;35;34;17;11;20;27;10
1091;92;31;15;0;30;26;0;0;0;0;0
1092;93;35;23;0;23;24;4;9;19;4;4
1093;94;24;31;23;27;35;20;16;12;28;16
1094;95;32;29;22;29;31;32;0;0;0;0
1095;96;31;34;25;26;30;12;22;28;22;14
1096;97;36;26;24;31;32;25;25;17;17;21
1097;98;33;36;21;28;33;23;20;21;18;0
1098;99;25;33;0;27;31;28;21;16;19;15
1099;100;36;29;27;28;32;24;27;27;24;18
1100;101;35;35;18;29;0;0;0;0;0;0
1101;102;20;19;0;0;0;0;0;0;0;0
1102;103;29;30;25;33;34;21;0;25;21;20
1103;104;32;0;0;24;31;15;12;8;23;13
1104;105;26;31;0;34;0;26;28;18;26;22
1105;106;35;35;0;25;36;13;17;22;29;7
1106;107;29;34;29;0;0;0;0;0;0;0
1107;108;38;37;26;0;0;31;26;0;31;0
1108;109;34;35;0;36;35;22;24;24;16;11
1109;110;37;36;0;31;0;30;0;9;25;19
1110;111;37;38;0;0;32;29;19;26;30;0
1111;112;33;37;0;0;0;5;15;10;2;0
FinishList.End

CompareList.Begin
001=03000
003=05400
023=06200
015=06300
007=06660
019=06700
004=06800
002=06900
017=08000
012=08100
029=08800
011=08800
009=08900
057=09200
035=09300
049=09300
005=09400
008=09600
048=09600
014=09800
085=10100
077=10200
041=10300
086=10700
025=10800
006=10800
031=11100
010=11400
079=11500
018=11900
050=11900
042=11930
072=12000
016=12100
022=12300
067=12300
044=12500
062=12600
082=12700
043=12800
020=12900
054=13000
084=13100
075=13300
013=13600
030=13700
047=13700
021=13900
040=14100
063=14400
093=14400
027=14500
028=14900
051=15600
080=15600
061=15700
087=15700
046=16000
083=16000
065=16100
045=16200
036=16300
059=16540
033=16700
024=16800
056=16800
069=16900
039=17200
076=17200
052=17300
037=17400
088=17500
089=17500
032=17700
034=17900
064=17900
038=18200
055=18600
091=18600
073=18700
058=18800
090=19000
081=19000
074=19300
026=19600
104=19700
094=19700
053=19800
066=20800
096=21000
099=21500
112=21800
097=21800
106=21900
070=22300
098=23200
071=23400
068=23600
100=23600
109=23700
103=23800
105=25000
060=25700
110=26400
078=26900
111=28800
095=28900
092=29200
108=30400
101=30700
102=30700
107=32100
CompareList.End

#W1

FR.*.W1.Bib40.QU=RAF
FR.*.W1.Bib59.QU=RDG/17.7
FR.*.W1.Bib86.QU=DSQ

#W2

FR.*.W2.Bib59.QU=RDG/17.7
FR.*.W2.Bib104.QU=DNF

#W3

FR.*.W3.Bib26.QU=BFD
FR.*.W3.Bib34.QU=BFD
FR.*.W3.Bib35.QU=BFD
FR.*.W3.Bib37.QU=BFD
FR.*.W3.Bib41.QU=BFD
FR.*.W3.Bib42.QU=RDG/14.3
FR.*.W3.Bib52.QU=BFD
FR.*.W3.Bib55.QU=DNF
FR.*.W3.Bib57.QU=BFD
FR.*.W3.Bib63.QU=BFD
FR.*.W3.Bib66.QU=BFD
FR.*.W3.Bib69.QU=BFD
FR.*.W3.Bib70.QU=BFD
FR.*.W3.Bib71.QU=BFD
FR.*.W3.Bib72.QU=BFD
FR.*.W3.Bib74.QU=DSQ
FR.*.W3.Bib80.QU=BFD
FR.*.W3.Bib85.QU=BFD
FR.*.W3.Bib90.QU=DNF
FR.*.W3.Bib92.QU=BFD
FR.*.W3.Bib93.QU=BFD
FR.*.W3.Bib99.QU=BFD
FR.*.W3.Bib102.QU=DNF
FR.*.W3.Bib104.QU=BFD
FR.*.W3.Bib105.QU=DNF
FR.*.W3.Bib106.QU=BFD
FR.*.W3.Bib109.QU=BFD
FR.*.W3.Bib110.QU=DNF
FR.*.W3.Bib111.QU=BFD
FR.*.W3.Bib112.QU=DNF

#W4

FR.*.W4.Bib2.QU=DNF
FR.*.W4.Bib23.QU=BFD
FR.*.W4.Bib33.QU=BFD
FR.*.W4.Bib50.QU=BFD
FR.*.W4.Bib56.QU=DNF
FR.*.W4.Bib57.QU=DNF
FR.*.W4.Bib60.QU=DNF
FR.*.W4.Bib67.QU=BFD
FR.*.W4.Bib68.QU=DNF
FR.*.W4.Bib75.QU=BFD
FR.*.W4.Bib77.QU=DNF
FR.*.W4.Bib82.QU=DNF
FR.*.W4.Bib84.QU=DNF
FR.*.W4.Bib102.QU=DNF
FR.*.W4.Bib107.QU=BFD
FR.*.W4.Bib108.QU=DNF
FR.*.W4.Bib111.QU=DNF
FR.*.W4.Bib112.QU=DNF

#W5

FR.*.W5.Bib65.QU=DNF
FR.*.W5.Bib78.QU=DNF
FR.*.W5.Bib101.QU=DNF
FR.*.W5.Bib102.QU=DNF
FR.*.W5.Bib105.QU=DNF
FR.*.W5.Bib107.QU=DNF
FR.*.W5.Bib108.QU=DNF
FR.*.W5.Bib110.QU=DNF
FR.*.W5.Bib112.QU=DNF

#W6

FR.*.W6.Bib12.QU=DNF
FR.*.W6.Bib60.QU=DNF
FR.*.W6.Bib78.QU=DNC
FR.*.W6.Bib92.QU=DNF
FR.*.W6.Bib101.QU=DNC
FR.*.W6.Bib102.QU=DNF
FR.*.W6.Bib107.QU=DNF

#W7

FR.*.W7.Bib7.QU=RDG/7.3
FR.*.W7.Bib18.QU=DSQ
FR.*.W7.Bib45.QU=DNF
FR.*.W7.Bib47.QU=DNF
FR.*.W7.Bib60.QU=DNF
FR.*.W7.Bib78.QU=DNC
FR.*.W7.Bib89.QU=DNF
FR.*.W7.Bib92.QU=DNF
FR.*.W7.Bib95.QU=DNF
FR.*.W7.Bib101.QU=DNC
FR.*.W7.Bib102.QU=DNF
FR.*.W7.Bib103.QU=DNF
FR.*.W7.Bib107.QU=DNF
FR.*.W7.Bib110.QU=DNF

#W8

FR.*.W8.Bib7.QU=RDG/7.3
FR.*.W8.Bib26.QU=DNF
FR.*.W8.Bib60.QU=DNF
FR.*.W8.Bib76.QU=OCS
FR.*.W8.Bib78.QU=DNC
FR.*.W8.Bib80.QU=OCS
FR.*.W8.Bib92.QU=DNF
FR.*.W8.Bib95.QU=DNF
FR.*.W8.Bib101.QU=DNF
FR.*.W8.Bib102.QU=DNF
FR.*.W8.Bib107.QU=DNF
FR.*.W8.Bib108.QU=DNF

#W9

FR.*.W9.Bib7.QU=DNF
FR.*.W9.Bib26.QU=DNF
FR.*.W9.Bib30.QU=OCS
FR.*.W9.Bib60.QU=DNF
FR.*.W9.Bib78.QU=DNC
FR.*.W9.Bib92.QU=DNF
FR.*.W9.Bib95.QU=DNF
FR.*.W9.Bib101.QU=DNF
FR.*.W9.Bib102.QU=DNF
FR.*.W9.Bib107.QU=DNF

#W10

FR.*.W10.Bib6.QU=BFD
FR.*.W10.Bib10.QU=BFD
FR.*.W10.Bib13.QU=BFD
FR.*.W10.Bib26.QU=DNF
FR.*.W10.Bib33.QU=BFD
FR.*.W10.Bib34.QU=BFD
FR.*.W10.Bib42.QU=BFD
FR.*.W10.Bib50.QU=DNF
FR.*.W10.Bib53.QU=DNE
FR.*.W10.Bib56.QU=BFD
FR.*.W10.Bib60.QU=DNE
FR.*.W10.Bib65.QU=DNF
FR.*.W10.Bib66.QU=DNF
FR.*.W10.Bib68.QU=DNE
FR.*.W10.Bib70.QU=DNE
FR.*.W10.Bib74.QU=DNF
FR.*.W10.Bib76.QU=DNF
FR.*.W10.Bib78.QU=DNF
FR.*.W10.Bib81.QU=DNF
FR.*.W10.Bib83.QU=OCS
FR.*.W10.Bib88.QU=OCS
FR.*.W10.Bib90.QU=DNF
FR.*.W10.Bib92.QU=DNF
FR.*.W10.Bib95.QU=DNF
FR.*.W10.Bib98.QU=DNF
FR.*.W10.Bib101.QU=DNF
FR.*.W10.Bib102.QU=DNF
FR.*.W10.Bib107.QU=DNF
FR.*.W10.Bib108.QU=DNF
FR.*.W10.Bib111.QU=DNF
FR.*.W10.Bib112.QU=DNF

EP.IM = Strict
