#Params

DP.StartlistCount = 107
DP.ITCount = 0
DP.RaceCount = 9

#Event Properties

EP.Name = C 2007 Laser Radial
EP.ScoringSystem = Low Point System
EP.Throwouts = 1
EP.DivisionName = LR
EP.InputMode = Strict
EP.RaceLayout = Finish
EP.NameSchema = NX
EP.FieldMap = SN
EP.FieldCaptions = FN,LN,NOC
EP.FieldCount = 3
EP.NameFieldCount = 0
EP.NameFieldOrder = 
EP.ColorMode = Fleet
EP.UseFleets = True
EP.TargetFleetSize = 54
EP.FirstFinalRace = 7
EP.IsTimed = False
EP.UseCompactFormat = True

NameList.Begin
NameList.End

StartList.Begin
Pos;SNR;Bib
FR.*.W2.Bib53.QU=BFD
FR.*.W2.Bib54.QU=BFD
FR.*.W2.Bib55.QU=BFD
FR.*.W2.Bib72.QU=DNE
FR.*.W2.Bib85.QU=DNE

#W3


#W4

FR.*.W4.Bib22.QU=BFD
FR.*.W4.Bib34.QU=BFD
FR.*.W4.Bib39.QU=BFD
FR.*.W4.Bib43.QU=BFD
FR.*.W4.Bib73.QU=DNE

#W5

FR.*.W5.Bib9.QU=BFD
FR.*.W5.Bib17.QU=BFD
FR.*.W5.Bib55.QU=DNF
FR.*.W5.Bib61.QU=OCS
FR.*.W5.Bib71.QU=DNF
FR.*.W5.Bib72.QU=DNF
FR.*.W5.Bib106.QU=DNF

#W6

FR.*.W6.Bib106.QU=DNF

#W7

FR.*.W7.Bib49.QU=DNC
FR.*.W7.Bib107.QU=DNF

#W8

FR.*.W8.Bib39.QU=DNF
FR.*.W8.Bib49.QU=DNC
FR.*.W8.Bib54.QU=DNF
FR.*.W8.Bib68.QU=DNF
FR.*.W8.Bib71.QU=DNF
FR.*.W8.Bib79.QU=BFD
FR.*.W8.Bib88.QU=DNF
FR.*.W8.Bib102.QU=DNF

#W9

FR.*.W9.Bib55.RV=x
FR.*.W9.Bib56.RV=x
FR.*.W9.Bib57.RV=x
FR.*.W9.Bib58.RV=x
FR.*.W9.Bib59.RV=x
FR.*.W9.Bib60.RV=x
FR.*.W9.Bib61.RV=x
FR.*.W9.Bib62.RV=x
FR.*.W9.Bib63.RV=x
FR.*.W9.Bib64.RV=x
FR.*.W9.Bib65.RV=x
FR.*.W9.Bib66.RV=x
FR.*.W9.Bib67.RV=x
FR.*.W9.Bib68.RV=x
FR.*.W9.Bib69.RV=x
FR.*.W9.Bib70.RV=x
FR.*.W9.Bib71.RV=x
FR.*.W9.Bib72.RV=x
FR.*.W9.Bib73.RV=x
FR.*.W9.Bib74.RV=x
FR.*.W9.Bib75.RV=x
FR.*.W9.Bib76.RV=x
FR.*.W9.Bib77.RV=x
FR.*.W9.Bib78.RV=x
FR.*.W9.Bib79.RV=x
FR.*.W9.Bib80.RV=x
FR.*.W9.Bib81.RV=x
FR.*.W9.Bib82.RV=x
FR.*.W9.Bib83.RV=x
FR.*.W9.Bib84.RV=x
FR.*.W9.Bib85.RV=x
FR.*.W9.Bib86.RV=x
FR.*.W9.Bib87.RV=x
FR.*.W9.Bib88.RV=x
FR.*.W9.Bib89.RV=x
FR.*.W9.Bib90.RV=x
FR.*.W9.Bib91.RV=x
FR.*.W9.Bib92.RV=x
FR.*.W9.Bib93.RV=x
FR.*.W9.Bib94.RV=x
FR.*.W9.Bib95.RV=x
FR.*.W9.Bib96.RV=x
FR.*.W9.Bib97.RV=x
FR.*.W9.Bib98.RV=x
FR.*.W9.Bib99.RV=x
FR.*.W9.Bib100.RV=x
FR.*.W9.Bib101.RV=x
FR.*.W9.Bib102.RV=x
FR.*.W9.Bib103.RV=x
FR.*.W9.Bib104.RV=x
FR.*.W9.Bib105.RV=x
FR.*.W9.Bib106.RV=x
FR.*.W9.Bib107.RV=x

EP.IM = Strict
